form,lemma,lemma_sf
edusˈimos,edusˈiɾ,s
emˈunçen,emunçˈeɾ,nç
pɾedˈises,pɾedesˈiɾ,s
antedˈiɡo,antedesˈiɾ,s
eɾˈiçe,eɾiçˈiɾ,ç
enbileskˈajs,enbilesˈeɾ,s
obtenɡˈamos,obtenˈeɾ,n
eɾiçˈis,eɾiçˈiɾ,ç
apetˈesko,apetesˈeɾ,s
ˈuɾçes,uɾçˈiɾ,ɾç
ofɾˈeskan,ofɾesˈeɾ,s
kopɾoduskˈamos,kopɾodusˈiɾ,s
pɾebenɡˈajs,pɾebenˈiɾ,n
adʃˈaskas,adʃasˈeɾ,s
emˈunçe,emunçˈeɾ,nç
ɾetˈenɡan,ɾetenˈeɾ,n
pɾedˈisen,pɾedesˈiɾ,s
sobɾesalɡˈamos,sobɾesalˈiɾ,l
opˈone,oponˈeɾ,n
embeʃeskˈamos,embeʃesˈeɾ,s
substɾaˈemos,substɾaˈeɾ,
edˈusko,edusˈiɾ,s
substɾajɡˈajs,substɾaˈeɾ,
ɾediɾˈiçen,ɾediɾiçˈiɾ,ç
exˈeɾses,exeɾsˈeɾ,ɾs
antedˈiɡas,antedesˈiɾ,s
debjˈenen,debenˈiɾ,n
eskosˈajs,eskosˈeɾ,s
tɾaspˈone,tɾasponˈeɾ,n
tɾasponˈejs,tɾasponˈeɾ,n
adʃasˈejs,adʃasˈeɾ,s
inteɾbˈenɡas,inteɾbenˈiɾ,n
antedesˈimos,antedesˈiɾ,s
ɾetˈenɡas,ɾetenˈeɾ,n
ataɾdeskˈamos,ataɾdesˈeɾ,s
ɾeapaɾˈesko,ɾeapaɾesˈeɾ,s
enkaʃeskˈajs,enkaʃesˈeɾ,s
amanˈeskas,amanesˈeɾ,s
pɾebˈenɡa,pɾebenˈiɾ,n
apeteskˈamos,apetesˈeɾ,s
embeʃeskˈajs,embeʃesˈeɾ,s
enluskˈajs,enlusˈiɾ,s
ataɾdˈeskan,ataɾdesˈeɾ,s
enbilesˈejs,enbilesˈeɾ,s
pɾediɡˈajs,pɾedesˈiɾ,s
intelixˈamos,inteliçˈiɾ,ç
tɾˈajɡan,tɾaˈeɾ,
edˈusen,edusˈiɾ,s
antedˈiɡa,antedesˈiɾ,s
enkaʃesˈemos,enkaʃesˈeɾ,s
intelixˈajs,inteliçˈiɾ,ç
dedˈuskan,dedusˈiɾ,s
exˈeɾse,exeɾsˈeɾ,ɾs
inteɾbenɡˈamos,inteɾbenˈiɾ,n
desobedˈeska,desobedesˈeɾ,s
exeɾsˈamos,exeɾsˈeɾ,ɾs
fɾançˈimos,fɾançˈiɾ,nç
ˈuɾxan,uɾçˈiɾ,ɾç
ɾetenɡˈajs,ɾetenˈeɾ,n
elˈiçen,eliçˈiɾ,ç
opˈones,oponˈeɾ,n
debˈenɡan,debenˈiɾ,n
ɾetenˈejs,ɾetenˈeɾ,n
enbileskˈamos,enbilesˈeɾ,s
desapaɾˈesko,desapaɾesˈeɾ,s
sˈuɾses,suɾsˈiɾ,ɾs
aborˈeses,aboresˈeɾ,s
tɾˈaen,tɾaˈeɾ,
apˈonɡo,aponˈeɾ,n
tɾajɡˈajs,tɾaˈeɾ,
antedˈises,antedesˈiɾ,s
enlˈuse,enlusˈiɾ,s
enlokeskˈajs,enlokesˈeɾ,s
sostenɡˈamos,sostenˈeɾ,n
debˈenɡo,debenˈiɾ,n
ʃukstaponˈejs,ʃukstaponˈeɾ,n
edˈuses,edusˈiɾ,s
intelˈixo,inteliçˈiɾ,ç
destoɾsˈajs,destoɾsˈeɾ,ɾs
ʃukstaponɡˈamos,ʃukstaponˈeɾ,n
ɾeponɡˈamos,ɾeponˈeɾ,n
pɾebjˈene,pɾebenˈiɾ,n
desobedeskˈajs,desobedesˈeɾ,s
tɾaspˈonɡa,tɾasponˈeɾ,n
ɾeapaɾˈeses,ɾeapaɾesˈeɾ,s
fɾanxˈajs,fɾançˈiɾ,nç
ɾeˈase,ɾeasˈeɾ,s
ʃukstapˈone,ʃukstaponˈeɾ,n
emˈunxa,emunçˈeɾ,nç
eɾixˈamos,eɾiçˈiɾ,ç
ɾeˈases,ɾeasˈeɾ,s
emˈunxan,emunçˈeɾ,nç
ekstɾˈajɡa,ekstɾaˈeɾ,
ɾepˈonɡo,ɾeponˈeɾ,n
empobɾˈeskas,empobɾesˈeɾ,s
desbanˈesen,desbanesˈeɾ,s
eskwˈesa,eskosˈeɾ,s
desˈases,desasˈiɾ,s
substɾˈajɡo,substɾaˈeɾ,
desapaɾesˈemos,desapaɾesˈeɾ,s
ɾedˈiɡas,ɾedesˈiɾ,s
ɾetɾotɾajɡˈajs,ɾetɾotɾaˈeɾ,
sostenˈemos,sostenˈeɾ,n
ɾediɾˈixan,ɾediɾiçˈiɾ,ç
eduskˈamos,edusˈiɾ,s
despaɾˈese,despaɾesˈeɾ,s
sˈuɾsas,suɾsˈiɾ,ɾs
dedˈuskas,dedusˈiɾ,s
pɾebenɡˈamos,pɾebenˈiɾ,n
desobedˈesen,desobedesˈeɾ,s
ʃukstapˈonɡo,ʃukstaponˈeɾ,n
debenˈis,debenˈiɾ,n
ekstɾaˈejs,ekstɾaˈeɾ,
enkaʃˈeskan,enkaʃesˈeɾ,s
amanˈeses,amanesˈeɾ,s
uɾçˈis,uɾçˈiɾ,ɾç
debjˈene,debenˈiɾ,n
fɾˈanxa,fɾançˈiɾ,nç
desbanesˈejs,desbanesˈeɾ,s
diɾiçˈimos,diɾiçˈiɾ,ç
apetˈeses,apetesˈeɾ,s
enbilˈeses,enbilesˈeɾ,s
fˈunxan,funçˈiɾ,nç
obtˈenɡas,obtenˈeɾ,n
sobɾesˈale,sobɾesalˈiɾ,l
despaɾˈeskan,despaɾesˈeɾ,s
edˈuskas,edusˈiɾ,s
apˈones,aponˈeɾ,n
emˈunxas,emunçˈeɾ,nç
empobɾˈeses,empobɾesˈeɾ,s
apetˈeskan,apetesˈeɾ,s
uɾxˈamos,uɾçˈiɾ,ɾç
suɾsˈamos,suɾsˈiɾ,ɾs
desapaɾesˈejs,desapaɾesˈeɾ,s
despaɾˈeses,despaɾesˈeɾ,s
ʃukstapˈonɡa,ʃukstaponˈeɾ,n
ɾedesˈimos,ɾedesˈiɾ,s
elixˈamos,eliçˈiɾ,ç
ekibˈalɡas,ekibalˈeɾ,l
debenˈimos,debenˈiɾ,n
enkaʃˈeska,enkaʃesˈeɾ,s
enbilˈesko,enbilesˈeɾ,s
elˈixan,eliçˈiɾ,ç
kopɾodˈuskas,kopɾodusˈiɾ,s
eskwˈesan,eskosˈeɾ,s
inteɾbjˈenen,inteɾbenˈiɾ,n
ataɾdˈeskas,ataɾdesˈeɾ,s
opˈonen,oponˈeɾ,n
enlusˈis,enlusˈiɾ,s
desobedˈese,desobedesˈeɾ,s
lanɡidˈese,lanɡidesˈeɾ,s
apˈonen,aponˈeɾ,n
uɾçˈimos,uɾçˈiɾ,ɾç
tɾaˈemos,tɾaˈeɾ,
atjˈene,atenˈeɾ,n
sobɾesˈales,sobɾesalˈiɾ,l
adʃˈaskan,adʃasˈeɾ,s
ekibˈalɡa,ekibalˈeɾ,l
fˈunçe,funçˈiɾ,nç
ɾedˈises,ɾedesˈiɾ,s
ɾeaɡˈajs,ɾeasˈeɾ,s
ɾediɾˈiçe,ɾediɾiçˈiɾ,ç
aborˈeskas,aboresˈeɾ,s
despaɾˈeska,despaɾesˈeɾ,s
kopɾodusˈimos,kopɾodusˈiɾ,s
eɾiçˈimos,eɾiçˈiɾ,ç
eskwˈese,eskosˈeɾ,s
fˈunxo,funçˈiɾ,nç
ekstɾˈae,ekstɾaˈeɾ,
desasɡˈamos,desasˈiɾ,s
tɾasponˈemos,tɾasponˈeɾ,n
inteɾbjˈene,inteɾbenˈiɾ,n
amaneskˈajs,amanesˈeɾ,s
ɾepˈonɡas,ɾeponˈeɾ,n
tɾˈajɡo,tɾaˈeɾ,
amanˈeska,amanesˈeɾ,s
intelˈixas,inteliçˈiɾ,ç
embeʃˈesen,embeʃesˈeɾ,s
apetˈeskas,apetesˈeɾ,s
enbilˈesen,enbilesˈeɾ,s
destwˈeɾso,destoɾsˈeɾ,ɾs
enkaʃˈesko,enkaʃesˈeɾ,s
ˈuɾçe,uɾçˈiɾ,ɾç
ɾeˈasen,ɾeasˈeɾ,s
enlˈusen,enlusˈiɾ,s
fˈunçen,funçˈiɾ,nç
apˈonɡa,aponˈeɾ,n
eɾˈixo,eɾiçˈiɾ,ç
sostˈenɡo,sostenˈeɾ,n
ekibˈales,ekibalˈeɾ,l
opˈonɡo,oponˈeɾ,n
eɾˈixan,eɾiçˈiɾ,ç
ɾetˈenɡa,ɾetenˈeɾ,n
destwˈeɾsas,destoɾsˈeɾ,ɾs
destwˈeɾsen,destoɾsˈeɾ,ɾs
aboresˈemos,aboresˈeɾ,s
enlokˈesen,enlokesˈeɾ,s
deɾelˈinkes,deɾelinkˈiɾ,nk
tɾaspˈones,tɾasponˈeɾ,n
ataɾdˈesen,ataɾdesˈeɾ,s
intelˈixan,inteliçˈiɾ,ç
eskwˈeso,eskosˈeɾ,s
ˈuɾxo,uɾçˈiɾ,ɾç
embeʃˈesko,embeʃesˈeɾ,s
diɾˈixa,diɾiçˈiɾ,ç
exˈeɾsen,exeɾsˈeɾ,ɾs
ekibalˈemos,ekibalˈeɾ,l
inteɾbenɡˈajs,inteɾbenˈiɾ,n
enlˈuses,enlusˈiɾ,s
eskosˈejs,eskosˈeɾ,s
elˈixa,eliçˈiɾ,ç
edˈuska,edusˈiɾ,s
ekibˈalɡo,ekibalˈeɾ,l
enbilˈeskan,enbilesˈeɾ,s
substɾˈae,substɾaˈeɾ,
deɾelˈinke,deɾelinkˈiɾ,nk
antediɡˈajs,antedesˈiɾ,s
obtˈenɡa,obtenˈeɾ,n
deɾelinkˈajs,deɾelinkˈiɾ,nk
apˈonɡas,aponˈeɾ,n
ɾeasˈemos,ɾeasˈeɾ,s
eliçˈis,eliçˈiɾ,ç
fˈunxas,funçˈiɾ,nç
deɾelˈinka,deɾelinkˈiɾ,nk
emˈunçes,emunçˈeɾ,nç
uɾxˈajs,uɾçˈiɾ,ɾç
sostˈenɡan,sostenˈeɾ,n
tɾaspˈonɡas,tɾasponˈeɾ,n
desˈasɡo,desasˈiɾ,s
pɾedˈiɡa,pɾedesˈiɾ,s
debˈenɡa,debenˈiɾ,n
ɾediɡˈamos,ɾedesˈiɾ,s
diɾiçˈis,diɾiçˈiɾ,ç
ɾetɾotɾˈajɡan,ɾetɾotɾaˈeɾ,
kopɾodusˈis,kopɾodusˈiɾ,s
fɾançˈis,fɾançˈiɾ,nç
obtenɡˈajs,obtenˈeɾ,n
aborˈesen,aboresˈeɾ,s
enlˈuskan,enlusˈiɾ,s
eɾˈixa,eɾiçˈiɾ,ç
embeʃˈeskas,embeʃesˈeɾ,s
ɾeponɡˈajs,ɾeponˈeɾ,n
eskosˈamos,eskosˈeɾ,s
ɾeˈaɡa,ɾeasˈeɾ,s
adʃˈaska,adʃasˈeɾ,s
ɾedˈiɡa,ɾedesˈiɾ,s
lanɡidˈeska,lanɡidesˈeɾ,s
empobɾˈesen,empobɾesˈeɾ,s
enlˈuska,enlusˈiɾ,s
ataɾdesˈejs,ataɾdesˈeɾ,s
ofɾeskˈajs,ofɾesˈeɾ,s
sˈuɾsan,suɾsˈiɾ,ɾs
elixˈajs,eliçˈiɾ,ç
kopɾodˈuses,kopɾodusˈiɾ,s
ɾediɾˈixas,ɾediɾiçˈiɾ,ç
ɾetɾotɾˈajɡo,ɾetɾotɾaˈeɾ,
desapaɾˈeses,desapaɾesˈeɾ,s
amanˈeskan,amanesˈeɾ,s
enkaʃesˈejs,enkaʃesˈeɾ,s
ofɾˈeskas,ofɾesˈeɾ,s
ʃukstapˈones,ʃukstaponˈeɾ,n
ofɾesˈejs,ofɾesˈeɾ,s
desˈasɡan,desasˈiɾ,s
suɾsˈis,suɾsˈiɾ,ɾs
fɾˈançen,fɾançˈiɾ,nç
desˈase,desasˈiɾ,s
enkaʃeskˈamos,enkaʃesˈeɾ,s
destwˈeɾsa,destoɾsˈeɾ,ɾs
ekstɾˈaes,ekstɾaˈeɾ,
ɾetɾotɾˈaes,ɾetɾotɾaˈeɾ,
desobedesˈemos,desobedesˈeɾ,s
apˈone,aponˈeɾ,n
tɾaspˈonɡo,tɾasponˈeɾ,n
ɾediɾixˈajs,ɾediɾiçˈiɾ,ç
diɾˈiçe,diɾiçˈiɾ,ç
tɾaspˈonɡan,tɾasponˈeɾ,n
pɾedˈiɡo,pɾedesˈiɾ,s
exeɾsˈajs,exeɾsˈeɾ,ɾs
substɾˈajɡan,substɾaˈeɾ,
tɾˈae,tɾaˈeɾ,
fɾˈanxo,fɾançˈiɾ,nç
pɾebˈenɡas,pɾebenˈiɾ,n
desasɡˈajs,desasˈiɾ,s
lanɡideskˈajs,lanɡidesˈeɾ,s
apeteskˈajs,apetesˈeɾ,s
sobɾesalˈimos,sobɾesalˈiɾ,l
adʃaskˈajs,adʃasˈeɾ,s
ɾetɾotɾaˈemos,ɾetɾotɾaˈeɾ,
obtˈenɡan,obtenˈeɾ,n
ɾediɾiçˈimos,ɾediɾiçˈiɾ,ç
intelˈiçen,inteliçˈiɾ,ç
deɾelinkˈamos,deɾelinkˈiɾ,nk
ekibalɡˈajs,ekibalˈeɾ,l
ɾetɾotɾaˈejs,ɾetɾotɾaˈeɾ,
tɾajɡˈamos,tɾaˈeɾ,
desˈasen,desasˈiɾ,s
inteliçˈimos,inteliçˈiɾ,ç
opˈonɡan,oponˈeɾ,n
sostˈenɡa,sostenˈeɾ,n
aponɡˈajs,aponˈeɾ,n
exeɾsˈejs,exeɾsˈeɾ,ɾs
lanɡidesˈemos,lanɡidesˈeɾ,s
desapaɾˈesen,desapaɾesˈeɾ,s
pɾedˈiɡas,pɾedesˈiɾ,s
ɾepˈonɡan,ɾeponˈeɾ,n
debenɡˈajs,debenˈiɾ,n
desapaɾˈese,desapaɾesˈeɾ,s
pɾebˈenɡo,pɾebenˈiɾ,n
ataɾdˈeses,ataɾdesˈeɾ,s
adʃˈase,adʃasˈeɾ,s
empobɾeskˈamos,empobɾesˈeɾ,s
destwˈeɾse,destoɾsˈeɾ,ɾs
enluskˈamos,enlusˈiɾ,s
desobedˈesko,desobedesˈeɾ,s
exˈeɾsan,exeɾsˈeɾ,ɾs
diɾˈiçen,diɾiçˈiɾ,ç
sobɾesˈalɡan,sobɾesalˈiɾ,l
aboresˈejs,aboresˈeɾ,s
fˈunxa,funçˈiɾ,nç
ɾeˈaɡan,ɾeasˈeɾ,s
fɾˈanxas,fɾançˈiɾ,nç
tɾasponɡˈamos,tɾasponˈeɾ,n
eɾˈixas,eɾiçˈiɾ,ç
substɾajɡˈamos,substɾaˈeɾ,
enlˈusko,enlusˈiɾ,s
ekibˈalɡan,ekibalˈeɾ,l
emunçˈemos,emunçˈeɾ,nç
tɾˈajɡa,tɾaˈeɾ,
