form,lemma,lemma_sf
pɾebenˈis,pɾebenˈiɾ,n
ataɾdeskˈajs,ataɾdesˈeɾ,s
desobedesˈejs,desobedesˈeɾ,s
desobedˈeskan,desobedesˈeɾ,s
ekibalˈejs,ekibalˈeɾ,l
desapaɾˈeskas,desapaɾesˈeɾ,s
tɾaspˈonen,tɾasponˈeɾ,n
lanɡidˈesko,lanɡidesˈeɾ,s
inteɾbenˈis,inteɾbenˈiɾ,n
ʃukstapˈonen,ʃukstaponˈeɾ,n
lanɡidˈeses,lanɡidesˈeɾ,s
ɾeˈaɡas,ɾeasˈeɾ,s
desˈasɡas,desasˈiɾ,s
ʃukstapˈonɡas,ʃukstaponˈeɾ,n
ɾediɾiçˈis,ɾediɾiçˈiɾ,ç
sostjˈene,sostenˈeɾ,n
aboreskˈajs,aboresˈeɾ,s
sobɾesˈalɡas,sobɾesalˈiɾ,l
atenˈejs,atenˈeɾ,n
amanˈesko,amanesˈeɾ,s
inteɾbenˈimos,inteɾbenˈiɾ,n
desbanˈeskan,desbanesˈeɾ,s
ɾedˈiɡan,ɾedesˈiɾ,s
ɾediɾˈiçes,ɾediɾiçˈiɾ,ç
tɾˈaes,tɾaˈeɾ,
aborˈese,aboresˈeɾ,s
ɾetˈenɡo,ɾetenˈeɾ,n
atˈenɡan,atenˈeɾ,n
substɾˈaen,substɾaˈeɾ,
oponˈejs,oponˈeɾ,n
desapaɾˈeskan,desapaɾesˈeɾ,s
oponɡˈajs,oponˈeɾ,n
desbanˈeskas,desbanesˈeɾ,s
empobɾˈesko,empobɾesˈeɾ,s
desbanˈeska,desbanesˈeɾ,s
elˈixo,eliçˈiɾ,ç
empobɾeskˈajs,empobɾesˈeɾ,s
enlusˈimos,enlusˈiɾ,s
desbanesˈemos,desbanesˈeɾ,s
obtenˈejs,obtenˈeɾ,n
ekibˈalen,ekibalˈeɾ,l
eɾˈiçes,eɾiçˈiɾ,ç
atjˈenen,atenˈeɾ,n
enlokˈeskan,enlokesˈeɾ,s
diɾˈixan,diɾiçˈiɾ,ç
embeʃˈeskan,embeʃesˈeɾ,s
ɾepˈonɡa,ɾeponˈeɾ,n
deduskˈamos,dedusˈiɾ,s
ɾedˈise,ɾedesˈiɾ,s
intelˈiçe,inteliçˈiɾ,ç
pɾebjˈenes,pɾebenˈiɾ,n
ɾepˈones,ɾeponˈeɾ,n
ekibˈale,ekibalˈeɾ,l
oponɡˈamos,oponˈeɾ,n
eskwˈeses,eskosˈeɾ,s
exˈeɾsas,exeɾsˈeɾ,ɾs
inteɾbˈenɡan,inteɾbenˈiɾ,n
elˈixas,eliçˈiɾ,ç
enkaʃˈese,enkaʃesˈeɾ,s
enkaʃˈeses,enkaʃesˈeɾ,s
aborˈeskan,aboresˈeɾ,s
exˈeɾsa,exeɾsˈeɾ,ɾs
ɾedˈiɡo,ɾedesˈiɾ,s
desobedˈeskas,desobedesˈeɾ,s
ɾetjˈene,ɾetenˈeɾ,n
adʃasˈemos,adʃasˈeɾ,s
ekstɾˈaen,ekstɾaˈeɾ,
kopɾoduskˈajs,kopɾodusˈiɾ,s
inteɾbˈenɡo,inteɾbenˈiɾ,n
atenˈemos,atenˈeɾ,n
ataɾdesˈemos,ataɾdesˈeɾ,s
aborˈesko,aboresˈeɾ,s
ɾetɾotɾˈajɡas,ɾetɾotɾaˈeɾ,
obtjˈene,obtenˈeɾ,n
ekstɾajɡˈajs,ekstɾaˈeɾ,
empobɾˈeskan,empobɾesˈeɾ,s
destoɾsˈemos,destoɾsˈeɾ,ɾs
substɾaˈejs,substɾaˈeɾ,
ɾepˈone,ɾeponˈeɾ,n
deɾelˈinken,deɾelinkˈiɾ,nk
eskwˈesen,eskosˈeɾ,s
ɾediɡˈajs,ɾedesˈiɾ,s
fɾˈançe,fɾançˈiɾ,nç
ɾeapaɾˈesen,ɾeapaɾesˈeɾ,s
desobedeskˈamos,desobedesˈeɾ,s
adoɾmˈeses,adoɾmesˈeɾ,s
ˈuɾxas,uɾçˈiɾ,ɾç
desbaneskˈajs,desbanesˈeɾ,s
diɾixˈajs,diɾiçˈiɾ,ç
lanɡidˈesen,lanɡidesˈeɾ,s
kopɾodˈuskan,kopɾodusˈiɾ,s
edˈuse,edusˈiɾ,s
ɾetɾotɾajɡˈamos,ɾetɾotɾaˈeɾ,
despaɾeskˈajs,despaɾesˈeɾ,s
desbanˈese,desbanesˈeɾ,s
adʃˈasko,adʃasˈeɾ,s
diɾˈixas,diɾiçˈiɾ,ç
fˈunçes,funçˈiɾ,nç
tɾasponɡˈajs,tɾasponˈeɾ,n
ɾeˈaɡo,ɾeasˈeɾ,s
empobɾesˈejs,empobɾesˈeɾ,s
ɾeapaɾˈeskas,ɾeapaɾesˈeɾ,s
eskosˈemos,eskosˈeɾ,s
elˈiçes,eliçˈiɾ,ç
lanɡidˈeskas,lanɡidesˈeɾ,s
ɾeapaɾeskˈajs,ɾeapaɾesˈeɾ,s
eliçˈimos,eliçˈiɾ,ç
ɾedˈisen,ɾedesˈiɾ,s
antediɡˈamos,antedesˈiɾ,s
pɾedesˈimos,pɾedesˈiɾ,s
ataɾdˈeska,ataɾdesˈeɾ,s
atenɡˈamos,atenˈeɾ,n
adoɾmˈeskas,adoɾmesˈeɾ,s
intelˈiçes,inteliçˈiɾ,ç
sˈuɾsa,suɾsˈiɾ,ɾs
aboreskˈamos,aboresˈeɾ,s
enlokˈeses,enlokesˈeɾ,s
apˈonɡan,aponˈeɾ,n
ofɾˈeska,ofɾesˈeɾ,s
enlokˈeska,enlokesˈeɾ,s
despaɾesˈejs,despaɾesˈeɾ,s
despaɾˈesen,despaɾesˈeɾ,s
debˈenɡas,debenˈiɾ,n
ˈuɾçen,uɾçˈiɾ,ɾç
pɾebenˈimos,pɾebenˈiɾ,n
ofɾeskˈamos,ofɾesˈeɾ,s
enlokesˈemos,enlokesˈeɾ,s
ɾediɾixˈamos,ɾediɾiçˈiɾ,ç
adʃˈases,adʃasˈeɾ,s
despaɾˈeskas,despaɾesˈeɾ,s
edˈuskan,edusˈiɾ,s
ɾetɾotɾˈaen,ɾetɾotɾaˈeɾ,
ofɾˈesen,ofɾesˈeɾ,s
enlokeskˈamos,enlokesˈeɾ,s
sostenɡˈajs,sostenˈeɾ,n
ɾeapaɾˈeskan,ɾeapaɾesˈeɾ,s
ɾeponˈejs,ɾeponˈeɾ,n
fɾˈanxan,fɾançˈiɾ,nç
kopɾodˈusen,kopɾodusˈiɾ,s
adʃˈasen,adʃasˈeɾ,s
ʃukstaponˈemos,ʃukstaponˈeɾ,n
ɾetjˈenen,ɾetenˈeɾ,n
aponˈejs,aponˈeɾ,n
adoɾmˈeskan,adoɾmesˈeɾ,s
adoɾmeskˈamos,adoɾmesˈeɾ,s
adoɾmˈeska,adoɾmesˈeɾ,s
empobɾˈeska,empobɾesˈeɾ,s
pɾediɡˈamos,pɾedesˈiɾ,s
despaɾesˈemos,despaɾesˈeɾ,s
eɾˈiçen,eɾiçˈiɾ,ç
amanˈese,amanesˈeɾ,s
dedˈusen,dedusˈiɾ,s
enlokˈesko,enlokesˈeɾ,s
adoɾmesˈemos,adoɾmesˈeɾ,s
ɾeapaɾˈese,ɾeapaɾesˈeɾ,s
ataɾdˈesko,ataɾdesˈeɾ,s
sobɾesˈalen,sobɾesalˈiɾ,l
pɾedˈiɡan,pɾedesˈiɾ,s
dedˈuska,dedusˈiɾ,s
enbilˈeska,enbilesˈeɾ,s
atˈenɡo,atenˈeɾ,n
dedˈusko,dedusˈiɾ,s
ˈuɾxa,uɾçˈiɾ,ɾç
lanɡidˈeskan,lanɡidesˈeɾ,s
apetˈeska,apetesˈeɾ,s
emunxˈamos,emunçˈeɾ,nç
eduskˈajs,edusˈiɾ,s
oponˈemos,oponˈeɾ,n
apetˈese,apetesˈeɾ,s
amanesˈemos,amanesˈeɾ,s
enbilˈese,enbilesˈeɾ,s
exˈeɾso,exeɾsˈeɾ,ɾs
ofɾˈese,ofɾesˈeɾ,s
pɾedesˈis,pɾedesˈiɾ,s
substɾˈajɡas,substɾaˈeɾ,
destwˈeɾses,destoɾsˈeɾ,ɾs
embeʃˈeses,embeʃesˈeɾ,s
pɾedˈise,pɾedesˈiɾ,s
debenɡˈamos,debenˈiɾ,n
ɾeponˈemos,ɾeponˈeɾ,n
emˈunxo,emunçˈeɾ,nç
adoɾmˈesko,adoɾmesˈeɾ,s
obtenˈemos,obtenˈeɾ,n
funxˈajs,funçˈiɾ,nç
debjˈenes,debenˈiɾ,n
ɾeapaɾesˈejs,ɾeapaɾesˈeɾ,s
sostjˈenen,sostenˈeɾ,n
sobɾesalɡˈajs,sobɾesalˈiɾ,l
dedusˈis,dedusˈiɾ,s
deɾelinkˈimos,deɾelinkˈiɾ,nk
ɾeasˈejs,ɾeasˈeɾ,s
kopɾodˈusko,kopɾodusˈiɾ,s
emunçˈejs,emunçˈeɾ,nç
funçˈis,funçˈiɾ,nç
opˈonɡas,oponˈeɾ,n
desobedˈeses,desobedesˈeɾ,s
atjˈenes,atenˈeɾ,n
deɾelinkˈis,deɾelinkˈiɾ,nk
desbanˈeses,desbanesˈeɾ,s
tɾaˈejs,tɾaˈeɾ,
dedusˈimos,dedusˈiɾ,s
amanˈesen,amanesˈeɾ,s
antedˈiɡan,antedesˈiɾ,s
obtˈenɡo,obtenˈeɾ,n
apetesˈemos,apetesˈeɾ,s
diɾixˈamos,diɾiçˈiɾ,ç
antedˈisen,antedesˈiɾ,s
ɾetjˈenes,ɾetenˈeɾ,n
adoɾmˈese,adoɾmesˈeɾ,s
apetesˈejs,apetesˈeɾ,s
kopɾodˈuse,kopɾodusˈiɾ,s
adoɾmˈesen,adoɾmesˈeɾ,s
dedˈuses,dedusˈiɾ,s
antedˈise,antedesˈiɾ,s
empobɾˈese,empobɾesˈeɾ,s
funçˈimos,funçˈiɾ,nç
sˈuɾse,suɾsˈiɾ,ɾs
suɾsˈimos,suɾsˈiɾ,ɾs
embeʃesˈejs,embeʃesˈeɾ,s
sostˈenɡas,sostenˈeɾ,n
opˈonɡa,oponˈeɾ,n
kopɾodˈuska,kopɾodusˈiɾ,s
ɾetenɡˈamos,ɾetenˈeɾ,n
enlokˈese,enlokesˈeɾ,s
ofɾˈeses,ofɾesˈeɾ,s
enbilesˈemos,enbilesˈeɾ,s
ekstɾaˈemos,ekstɾaˈeɾ,
substɾˈaes,substɾaˈeɾ,
atˈenɡas,atenˈeɾ,n
adʃaskˈamos,adʃasˈeɾ,s
deɾelˈinko,deɾelinkˈiɾ,nk
exeɾsˈemos,exeɾsˈeɾ,ɾs
deɾelˈinkan,deɾelinkˈiɾ,nk
suɾsˈajs,suɾsˈiɾ,ɾs
deduskˈajs,dedusˈiɾ,s
desasˈimos,desasˈiɾ,s
diɾˈixo,diɾiçˈiɾ,ç
sobɾesˈalɡa,sobɾesalˈiɾ,l
aponɡˈamos,aponˈeɾ,n
desapaɾˈeska,desapaɾesˈeɾ,s
destwˈeɾsan,destoɾsˈeɾ,ɾs
obtjˈenes,obtenˈeɾ,n
intelˈixa,inteliçˈiɾ,ç
inteɾbjˈenes,inteɾbenˈiɾ,n
adoɾmeskˈajs,adoɾmesˈeɾ,s
enkaʃˈeskas,enkaʃesˈeɾ,s
ofɾesˈemos,ofɾesˈeɾ,s
ɾedesˈis,ɾedesˈiɾ,s
funxˈamos,funçˈiɾ,nç
desapaɾeskˈamos,desapaɾesˈeɾ,s
pɾebˈenɡan,pɾebenˈiɾ,n
ɾediɾˈixo,ɾediɾiçˈiɾ,ç
lanɡideskˈamos,lanɡidesˈeɾ,s
ʃukstapˈonɡan,ʃukstaponˈeɾ,n
enlˈuskas,enlusˈiɾ,s
amaneskˈamos,amanesˈeɾ,s
ofɾˈesko,ofɾesˈeɾ,s
diɾˈiçes,diɾiçˈiɾ,ç
sˈuɾso,suɾsˈiɾ,ɾs
destoɾsˈamos,destoɾsˈeɾ,ɾs
destoɾsˈejs,destoɾsˈeɾ,ɾs
ekibalɡˈamos,ekibalˈeɾ,l
desapaɾeskˈajs,desapaɾesˈeɾ,s
sˈuɾsen,suɾsˈiɾ,ɾs
eskwˈesas,eskosˈeɾ,s
sostenˈejs,sostenˈeɾ,n
atˈenɡa,atenˈeɾ,n
apetˈesen,apetesˈeɾ,s
inteliçˈis,inteliçˈiɾ,ç
adoɾmesˈejs,adoɾmesˈeɾ,s
desbanˈesko,desbanesˈeɾ,s
enlokesˈejs,enlokesˈeɾ,s
desˈasɡa,desasˈiɾ,s
eɾixˈajs,eɾiçˈiɾ,ç
despaɾeskˈamos,despaɾesˈeɾ,s
enbilˈeskas,enbilesˈeɾ,s
ɾepˈonen,ɾeponˈeɾ,n
enlokˈeskas,enlokesˈeɾ,s
fɾˈançes,fɾançˈiɾ,nç
ekstɾˈajɡo,ekstɾaˈeɾ,
antedesˈis,antedesˈiɾ,s
amanesˈejs,amanesˈeɾ,s
sobɾesˈalɡo,sobɾesalˈiɾ,l
embeʃˈeska,embeʃesˈeɾ,s
ɾetɾotɾˈae,ɾetɾotɾaˈeɾ,
elˈiçe,eliçˈiɾ,ç
ataɾdˈese,ataɾdesˈeɾ,s
substɾˈajɡa,substɾaˈeɾ,
tɾˈajɡas,tɾaˈeɾ,
ekstɾˈajɡan,ekstɾaˈeɾ,
ɾeapaɾesˈemos,ɾeapaɾesˈeɾ,s
ɾeaɡˈamos,ɾeasˈeɾ,s
deɾelˈinkas,deɾelinkˈiɾ,nk
embeʃesˈemos,embeʃesˈeɾ,s
fɾanxˈamos,fɾançˈiɾ,nç
atenɡˈajs,atenˈeɾ,n
ekstɾajɡˈamos,ekstɾaˈeɾ,
ɾeapaɾeskˈamos,ɾeapaɾesˈeɾ,s
ɾetɾotɾˈajɡa,ɾetɾotɾaˈeɾ,
ɾeapaɾˈeska,ɾeapaɾesˈeɾ,s
ɾediɾˈixa,ɾediɾiçˈiɾ,ç
pɾebjˈenen,pɾebenˈiɾ,n
obtjˈenen,obtenˈeɾ,n
despaɾˈesko,despaɾesˈeɾ,s
ʃukstaponɡˈajs,ʃukstaponˈeɾ,n
edusˈis,edusˈiɾ,s
empobɾesˈemos,empobɾesˈeɾ,s
aborˈeska,aboresˈeɾ,s
enkaʃˈesen,enkaʃesˈeɾ,s
ekstɾˈajɡas,ekstɾaˈeɾ,
lanɡidesˈejs,lanɡidesˈeɾ,s
ɾetenˈemos,ɾetenˈeɾ,n
desbaneskˈamos,desbanesˈeɾ,s
aponˈemos,aponˈeɾ,n
sostjˈenes,sostenˈeɾ,n
sobɾesalˈis,sobɾesalˈiɾ,l
dedˈuse,dedusˈiɾ,s
embeʃˈese,embeʃesˈeɾ,s
inteɾbˈenɡa,inteɾbenˈiɾ,n
emunxˈajs,emunçˈeɾ,nç
